graph,round,accepted,before_kaw,after_kaw,before_max_kaw,after_max_kaw,before_sym,after_sym,before_mae,after_mae,crossing_free,projection,projection_2,gradient,z3,worst_before
0,1,True,0.16592012568195086,0.1878669233057597,1.0671543840693731,0.7451188047152937,0.18571529361006614,0.17206894696425673,0.0,0.0,True,accepted,accepted,accepted,sat,21:1.0672; 22:0.5037; 15:0.3994; 20:0.0583
0,2,True,0.1878669233057597,0.11628657450670304,0.7451188047152937,0.6544075932912223,0.17206894696425673,0.17543254530418823,0.0,0.0,True,accepted,accepted,not improved,sat,21:0.7451; 15:0.3354; 11:0.2163; 10:0.2097
0,3,True,0.11628657450670304,0.08641216804062424,0.6544075932912223,0.5040568440812407,0.17543254530418823,0.16800188363134932,0.0,0.0,True,accepted,accepted,not improved,sat,21:0.6544; 20:0.1916; 22:0.1440; 18:0.1225
1,1,True,0.19674009310076634,0.21450792941443952,1.0527177425371659,0.7659909227069992,0.1875967678496952,0.1780532371162771,0.0,0.0,True,accepted,accepted,accepted,sat,21:1.0527; 22:0.4848; 12:0.2572; 15:0.1917
1,2,True,0.21450792941443952,0.14412916649490032,0.7659909227069992,0.6998445264339148,0.1780532371162771,0.1542000040925142,0.0,0.0,True,accepted,accepted,not improved,sat,21:0.7660; 15:0.3601; 16:0.3540; 22:0.2979
1,3,True,0.14412916649490032,0.08489804090997789,0.6998445264339148,0.2564974418784671,0.1542000040925142,0.1568743360865485,0.0,0.0,True,accepted,accepted,not improved,sat,21:0.6998; 11:0.4386; 20:0.1732; 15:0.1556
2,1,True,0.2140439149657553,0.11146207843298403,0.9101470650440309,0.7678047170814186,0.1364766547297223,0.11270308627731265,0.0,0.0,True,accepted,accepted,not improved,sat,21:0.9101; 20:0.4511; 14:0.3708; 22:0.3361
2,2,True,0.11146207843298403,0.08937875360608159,0.7678047170814186,0.6987630598133143,0.11270308627731265,0.11411136501426798,0.0,0.0,True,accepted,accepted,not improved,sat,20:0.7678; 21:0.2453; 16:0.1746; 10:0.0615
2,3,False,0.08937875360608159,0.08937875360608159,0.6987630598133143,0.6987630598133143,0.11411136501426798,0.11411136501426798,0.0,0.0,True,accepted,accepted,accepted,sat,20:0.6988; 21:0.1736; 15:0.0981; 16:0.0608
3,1,True,0.19950471171469536,0.2030833630973553,1.0527177425371659,0.6397544061698088,0.18646648094416343,0.17391581135716785,0.0,0.0,True,accepted,accepted,accepted,sat,21:1.0527; 22:0.5037; 15:0.2739; 12:0.2076
3,2,True,0.2030833630973553,0.10675252548136022,0.6397544061698088,0.3284398559359518,0.17391581135716785,0.17984338719324575,0.0,0.0,True,accepted,accepted,not improved,sat,21:0.6398; 15:0.5578; 16:0.3941; 10:0.2125
3,3,True,0.10675252548136022,0.08694938042935485,0.3284398559359518,0.4216165340807745,0.17984338719324575,0.1820420495616039,0.0,0.0,True,accepted,accepted,not improved,sat,20:0.3284; 21:0.2675; 15:0.1874; 22:0.1277
4,1,True,0.2341779559301117,0.12585282612872195,1.060460366197474,0.6418206999485103,0.18188314513428286,0.18791522385365486,0.0,0.0,True,accepted,accepted,not improved,sat,21:1.0605; 22:0.4189; 15:0.3122; 16:0.2242
4,2,True,0.12585282612872195,0.10274060705274811,0.6418206999485103,0.6781681184379744,0.18791522385365486,0.1843333749744043,0.0,0.0,True,accepted,accepted,not improved,sat,21:0.6418; 12:0.2362; 22:0.1702; 15:0.1691
4,3,True,0.10274060705274811,0.09807423029738174,0.6781681184379744,0.6223934168312484,0.1843333749744043,0.18221417660496167,0.0,0.0,True,accepted,accepted,not improved,sat,21:0.6782; 12:0.2037; 15:0.1906; 20:0.1482
5,1,True,0.1925381973280721,0.14532737224458472,0.7951882797513417,0.7138144197989025,0.12901890547159636,0.12078380647685763,0.0,0.0,True,accepted,accepted,not improved,sat,21:0.7952; 20:0.4828; 14:0.3699; 18:0.1440
5,2,True,0.14532737224458472,0.10339072327158962,0.7138144197989025,0.5798556474573466,0.12078380647685763,0.11397861918129225,0.0,0.0,True,not improved,accepted,accepted,sat,21:0.7138; 20:0.3591; 14:0.3162; 12:0.1143
5,3,False,0.10339072327158962,0.10339072327158962,0.5798556474573466,0.5798556474573466,0.11397861918129225,0.11397861918129225,0.0,0.0,True,accepted,accepted,not improved,sat,20:0.5799; 21:0.1765; 10:0.1299; 23:0.1184
best,1,False,0.16592012568195086,0.16592012568195086,1.0671543840693731,1.0671543840693731,0.18571529361006614,0.18571529361006614,0.0,0.0,True,accepted,accepted,accepted,sat,21:1.0672; 22:0.5037; 15:0.3994; 20:0.0583
